date,frame,count,total_videos_in_date,prevalence
2019-07-01,Geopolitics & strategic competition,23,129,0.178295
2019-07-01,"Society, culture & everyday life",12,129,0.093023
2019-07-01,"Knowledge, facts & educational content",23,129,0.178295
2019-07-01,Climate change & environmental risk,2,129,0.015504
2019-08-01,"Entertainment, memes & low-context content",47,410,0.114634
2019-08-01,"Nature, landscape & tourism",68,410,0.165854
2019-08-01,Geopolitics & strategic competition,60,410,0.146341
2019-08-01,"Society, culture & everyday life",152,410,0.370732
2019-08-01,"Knowledge, facts & educational content",11,410,0.026829
2019-08-01,Climate change & environmental risk,72,410,0.175610
2019-09-01,"Entertainment, memes & low-context content",32,138,0.231884
2019-09-01,"Nature, landscape & tourism",43,138,0.311594
2019-09-01,Geopolitics & strategic competition,20,138,0.144928
2019-09-01,"Society, culture & everyday life",22,138,0.159420
2019-09-01,"Knowledge, facts & educational content",17,138,0.123188
2019-09-01,Climate change & environmental risk,4,138,0.028986
2019-10-01,"Entertainment, memes & low-context content",39,158,0.246835
2019-10-01,"Nature, landscape & tourism",37,158,0.234177
2019-10-01,Geopolitics & strategic competition,42,158,0.265823
2019-10-01,"Society, culture & everyday life",14,158,0.088608
2019-10-01,"Knowledge, facts & educational content",24,158,0.151899
2019-10-01,Climate change & environmental risk,2,158,0.012658
2019-11-01,"Entertainment, memes & low-context content",39,124,0.314516
2019-11-01,"Nature, landscape & tourism",39,124,0.314516
2019-11-01,Geopolitics & strategic competition,26,124,0.209677
2019-11-01,"Society, culture & everyday life",3,124,0.024194
2019-11-01,"Knowledge, facts & educational content",14,124,0.112903
2019-11-01,Climate change & environmental risk,3,124,0.024194
2019-12-01,"Entertainment, memes & low-context content",20,138,0.144928
2019-12-01,"Nature, landscape & tourism",41,138,0.297101
2019-12-01,Geopolitics & strategic competition,38,138,0.275362
2019-12-01,"Society, culture & everyday life",21,138,0.152174
2019-12-01,"Knowledge, facts & educational content",15,138,0.108696
2019-12-01,Climate change & environmental risk,3,138,0.021739
2020-01-01,"Entertainment, memes & low-context content",33,138,0.239130
